Wall time,Step,Value
1618331477.1457648,55,0.7158982157707214
1618331533.4012625,56,0.6997494697570801
1618331589.7072275,57,0.7005146741867065
1618331645.9849684,58,0.7145243883132935
1618331702.2324455,59,0.7103021144866943
1618331758.4880395,60,0.7074124813079834
1618331814.6975389,61,0.7093130350112915
1618331870.953239,62,0.6891528367996216
1618331927.2129135,63,0.6778398156166077
1618331983.4914997,64,0.6518366932868958
1618332039.7568417,65,0.7195907831192017
1618332096.0355208,66,0.720958411693573
1618332152.2783008,67,0.6824066638946533
1618332208.576916,68,0.6540599465370178
1618332264.8848407,69,0.6533388495445251
1618332321.1374857,70,0.6385778784751892
1618332377.3709586,71,0.6929162740707397
1618332433.667643,72,0.6708146929740906
1618332489.9089296,73,0.6258132457733154
1618332546.2202554,74,0.6195936799049377
1618332603.0904403,75,0.7089884877204895
1618332750.2443902,76,0.6253317594528198
1618332897.0122178,77,0.620728075504303
1618332953.2530344,78,0.6323931217193604
1618333009.568477,79,0.6230164766311646
1618333065.962432,80,0.6387775540351868
1618333122.2603524,81,0.6172372698783875
1618333178.5892746,82,0.6136825084686279
1618333234.8719878,83,0.5979964137077332
1618333291.100083,84,0.6051693558692932
1618333347.36595,85,0.5874587893486023
1618333403.6223683,86,0.5707995295524597
1618333459.8448894,87,0.5767359733581543
1618333516.001638,88,0.5936499238014221
1618333572.1511064,89,0.6097844839096069
1618333628.3183432,90,0.6030036211013794
1618333684.5448098,91,0.568547785282135
1618333740.773611,92,0.5754307508468628
1618333796.9861069,93,0.5678852796554565
1618333853.2207162,94,0.5767385363578796
1618333909.4752247,95,0.5611889958381653
1618333965.6921992,96,0.5732026100158691
1618334021.8889728,97,0.5518583655357361
1618334078.0774462,98,0.5723467469215393
1618334134.2723143,99,0.555989146232605
1618334190.4976184,100,0.562265157699585
1618334336.2754934,101,0.5431780815124512
1618334481.9274638,102,0.538105309009552
1618334538.1964118,103,0.5234118700027466
1618334594.484741,104,0.5428723096847534
1618334650.8051243,105,0.5761093497276306
1618334707.0980217,106,0.6515267491340637
1618334763.3562636,107,0.5457462072372437
1618334819.6845653,108,0.5481451153755188
1618334875.9283366,109,0.5427922010421753
1618334932.2299123,110,0.5505270957946777
1618334988.5150073,111,0.5601873993873596
1618335046.038543,112,0.5192412734031677
1618335102.6812181,113,0.5178893208503723
1618335159.38186,114,0.5570586919784546
1618335215.9955933,115,0.5276740789413452
1618335272.7292705,116,0.6184427738189697
1618335329.4806387,117,0.6025832891464233
1618335386.147104,118,0.5530352592468262
1618335443.3028495,119,0.5427137613296509
1618335499.64711,120,0.5335484147071838
1618335555.9314907,121,0.5140859484672546
1618335612.211787,122,0.5047929286956787
1618335668.5220993,123,0.4962431490421295
1618335724.788904,124,0.5201388001441956
1618335781.0938928,125,0.49394479393959045
1618335927.0500906,126,0.5116472244262695
1618336072.6507792,127,0.5060608386993408
1618336128.9524195,128,0.5085954070091248
1618336185.3165488,129,0.5135233402252197
1618336241.63519,130,0.5005794763565063
1618336297.9830072,131,0.5326465368270874
1618336354.2704048,132,0.5485087633132935
1618336410.592371,133,0.5026240348815918
1618336466.9213297,134,0.5074286460876465
1618336523.2632482,135,0.48170149326324463
1618336579.603631,136,0.4819551408290863
